"First Name","Last Name","Email","Salary"
"Lydia","Cooper","l.cooper@randatmail.com","5703"
"Victoria","Riley","v.riley@randatmail.com","1448"
"Charlotte","Edwards","c.edwards@randatmail.com","894"
"Vanessa","Miller","v.miller@randatmail.com","913"
"Frederick","Richardson","f.richardson@randatmail.com","5368"
"Maddie","West","m.west@randatmail.com","2862"
"Jared","Thomas","j.thomas@randatmail.com","6686"
"Jessica","Parker","j.parker@randatmail.com","3694"
"Harold","Alexander","h.alexander@randatmail.com","5806"
"Samantha","Warren","s.warren@randatmail.com","7054"
